ID,CITY,STATE,LAT_N(Northern Latitude),LONG_W(Western Longitude)
794,Kissee Mills,MO,139.6503652,73.41609884
824,Loma Mar,CA,48.69788572,130.5393541
603,Sandy Hook,CT,72.33748014,148.2400769
478,Tipton,IN,33.54792701,97.94286036
619,Arlington,CO,75.17993079,92.94615894
711,Turner,AR,50.24380534,101.4580163
839,Slidell,LA,85.32270304,151.8743276
411,Negreet,LA,98.9707194,105.3376115
588,Glencoe,KY,46.38739244,136.0427027
665,Chelsea,IA,98.72210937,59.68913002
342,Chignik Lagoon,AK,103.1995264,153.0084273
733,Pelahatchie,MS,38.58161595,28.11950703
441,Hanna City,IL,50.98932987,136.781101
811,Dorrance,KS,102.0888316,121.5614372
698,Albany,CA,49.75112765,80.21211317
325,Monument,KS,70.52300953,141.7680413
414,Manchester,MD,73.51580724,37.14602869
113,Prescott,IA,39.93234421,65.79327823
971,Graettinger,IA,94.66283665,150.3826243
266,Cahone,CO,116.2321963,127.009554
617,Sturgis,MS,36.45673517,126.1690696
495,Upperco,MD,114.2157413,29.63104758
473,Highwood,IL,27.25445814,150.9227402
959,Waipahu,HI,106.4460526,33.91451792
438,Bowdon,GA,88.98111013,78.49025241
571,Tyler,MN,133.3521233,58.63273833
92,Watkins,CO,83.27433063,96.73732305
399,Republic,MI,75.42182,130.1266717
426,Millville,CA,32.55838209,145.7434609
844,Aguanga,CA,79.89165657,65.93959251
321,Bowdon Junction,GA,85.93174158,33.60098321
606,Morenci,AZ,104.8964262,110.2033978
957,South El Monte,CA,74.04958346,79.64381732
833,Hoskinston,KY,65.7515349,65.67937265
843,Talbert,KY,39.85947921,58.84999769
166,Mccomb,MS,74.04169376,42.63374681
339,Kirk,CO,141.097397,136.3312671
909,Carlock,IL,117.3209611,84.80244659
829,Seward,IL,72.41930917,90.20890209
766,Gustine,CA,111.0875596,140.8338617
392,Delano,CA,126.3467998,91.50161746
555,Westphalia,MI,32.76641637,143.8050085
33,Saint Elmo,AL,27.34698627,50.57950365
728,Roy,MT,41.31187761,51.56467929
656,Pattonsburg,MO,138.100334,32.10804024
394,Centertown,MO,133.9733513,93.17246374
366,Norvell,MI,125.3431567,93.75245864
96,Raymondville,MO,70.68239168,148.4444084
