date,views,likes,comments
2022-04-21,51273,1900,262
2022-04-20,25597,355,53
2022-04-20,21430,633,40
2022-04-18,3609893,95000,8757
2022-04-14,4405481,115000,10444
2022-04-14,38252,1200,225
2022-04-14,32369,449,95
2022-04-12,137166,7300,1329
2022-04-11,34071,473,56
2022-04-10,39376,546,502
2022-04-08,37296,518,405
2022-04-07,51525,715,110
2022-04-06,25438,353,72
2022-04-05,82889,1151,153
2022-04-04,31855,442,75
2022-04-01,63375,880,282
2022-04-01,36946,513,65
2022-03-31,45843,636,228
2022-03-30,14674,203,15
2022-03-30,273563,3799,289
2022-03-29,25954,360,42
2022-03-28,39904,554,118
2022-03-25,39526,548,64
2022-03-25,25959,360,106
2022-03-24,18783,260,86
2022-03-23,53537,743,69
2022-03-22,46895,651,130
2022-03-21,40817,566,86
2022-03-20,36721,510,50
2022-03-19,32891,456,45
2022-03-18,18108,251,108
2022-03-18,64460,895,149
2022-03-17,24754,343,63
2022-03-16,44594,619,153
2022-03-16,36285,503,37
2022-03-15,54841,761,67
2022-03-15,76609,1064,143
2022-03-14,23647,328,25
2022-03-13,37832,525,52
2022-03-13,40436,561,72
2022-03-13,63120,876,496
2022-03-12,21556,299,107
2022-03-12,1573098,21848,4899
2022-03-11,16567,230,43
2022-03-11,29830,414,64
2022-03-10,43271,600,29
2022-03-10,55847,1800,109
2022-03-09,22191,308,81
2022-03-09,25463,353,24
2022-03-08,20864,289,81
2022-03-08,32908,457,121
2022-03-07,298257,4142,1423
2022-03-07,44416,616,191
2022-03-06,35324,490,57
2022-03-06,28048,773,87
2022-03-05,36864,512,282
2022-03-05,32220,447,44
2022-03-04,18952,263,43
2022-03-04,19851,275,18
2022-03-03,22032,306,96
2022-03-03,4136006,57444,15168
2022-03-02,18690,259,75
2022-03-02,22909,592,36
2022-03-01,24516,864,46
2022-03-01,54320,1400,22
2022-02-28,34837,1000,32
2022-02-25,49626,1200,47
2022-02-24,21947,664,72
2022-02-24,25916,494,154
2022-02-23,42332,1400,88
2022-02-23,35254,819,69
2022-02-22,21384,578,47
2022-02-22,53814,1000,127
2022-02-21,44555,1300,110
2022-02-20,39869,1300,166
2022-02-20,48224,1900,57
2022-02-19,38166,1400,51
2022-02-19,28969,972,29
2022-02-18,32776,455,83
2022-02-18,32300,1000,37
2022-02-17,17660,610,29
2022-02-17,32280,847,61
2022-02-16,20585,285,5
2022-02-16,35917,1100,223
2022-02-15,15059,351,53
2022-02-15,28407,593,43
2022-02-14,22430,311,27
2022-02-14,103470,3700,166
2022-02-13,109958,2300,87
2022-02-13,39583,1000,62
2022-02-12,68738,1500,117
2022-02-12,33423,990,41
2022-02-11,20035,924,94
2022-02-11,24537,674,156
2022-02-10,61238,1300,80
2022-02-09,24784,344,79
2022-02-08,31171,837,26
2022-02-07,30056,417,44
2022-02-06,49208,1900,370
2022-02-05,33509,928,80
2022-02-04,54001,750,59
2022-02-03,48542,674,60
2022-02-02,51679,1400,308
2022-02-02,33378,773,155
2022-02-01,24208,720,67
2022-01-31,34738,482,51
2022-01-29,37782,832,141
2022-01-27,40969,1000,226
2022-01-26,29962,948,49
2022-01-25,33739,1100,70
2022-01-24,39779,1300,71
2022-01-22,64050,1800,180
