litters,birth_weights
litter1,2
litter1,2.8
litter1,3.3
litter1,3.2
litter1,4.4
litter1,3.6
litter1,1.9
litter1,3.3
litter1,2.8
litter1,1.1
litter2,3.5
litter2,2.8
litter2,3.2
litter2,3.5
litter2,2.3
litter2,2.4
litter2,2
litter2,1.6
litter3,3.3
litter3,3.6
litter3,2.6
litter3,3.1
litter3,3.2
litter3,3.3
litter3,2.9
litter3,3.4
litter3,3.2
litter3,3.2
litter4,3.2
litter4,3.3
litter4,3.2
litter4,2.9
litter4,3.3
litter4,2.5
litter4,2.6
litter4,2.8
litter5,2.6
litter5,2.6
litter5,2.9
litter5,2
litter5,2
litter5,2.1
litter6,3.1
litter6,2.9
litter6,3.1
litter6,2.5
litter7,2.6
litter7,2.2
litter7,2.2
litter7,2.5
litter7,1.2
litter7,1.2
litter8,2.5
litter8,2.4
litter8,3
litter8,1
