plot_no,temperature,yield
P1,ht,15
P1,ht,16
P1,lt,20
P1,lt,22
P1,control,25
P1,control,24
P2,ht,20
P2,ht,15
P2,lt,30
P2,lt,29
P2,control,40
P2,control,35
P3,ht,16
P3,ht,14
P3,lt,18
P3,lt,16
P3,control,20
P3,control,18
P4,ht,18
P4,ht,15
P4,lt,20
P4,lt,22
P4,control,22
P4,control,26
P5,ht,21
P5,ht,22
P5,lt,20
P5,lt,19
P5,control,30
P5,control,28
P6,ht,10
P6,ht,8
P6,lt,16
P6,lt,14
P6,control,16
P6,control,15
P7,ht,14
P7,ht,12
P7,lt,17
P7,lt,10
P7,control,16
P7,control,20
P8,ht,15
P8,ht,11
P8,lt,20
P8,lt,18
P8,control,19
P8,control,17
P9,ht,16
P9,ht,15
P9,lt,14
P9,lt,15
P9,control,25
P9,control,22
P10,ht,17
P10,ht,14
P10,lt,15
P10,lt,14
P10,control,14
P10,control,18
