factor_A,factor_B,factor_C,A_code,B_code,C_code,treatment_combination,test_panel,result
A0,B0,C0,-1,-1,-1,(1),TP1,11
A1,B0,C0,1,-1,-1,a,TP1,15
A0,B1,C0,-1,1,-1,b,TP1,9
A1,B1,C0,1,1,-1,ab,TP1,16
A0,B0,C1,-1,-1,1,c,TP1,10
A1,B0,C1,1,-1,1,ac,TP1,12
A0,B1,C1,-1,1,1,bc,TP1,10
A1,B1,C1,1,1,1,abc,TP1,15
A0,B0,C0,-1,-1,-1,(1),TP2,9
A1,B0,C0,1,-1,-1,a,TP2,10
A0,B1,C0,-1,1,-1,b,TP2,12
A1,B1,C0,1,1,-1,ab,TP2,17
A0,B0,C1,-1,-1,1,c,TP2,11
A1,B0,C1,1,-1,1,ac,TP2,13
A0,B1,C1,-1,1,1,bc,TP2,12
A1,B1,C1,1,1,1,abc,TP2,12
A0,B0,C0,-1,-1,-1,(1),TP3,10
A1,B0,C0,1,-1,-1,a,TP3,16
A0,B1,C0,-1,1,-1,b,TP3,11
A1,B1,C0,1,1,-1,ab,TP3,15
A0,B0,C1,-1,-1,1,c,TP3,15
A1,B0,C1,1,-1,1,ac,TP3,14
A0,B1,C1,-1,1,1,bc,TP3,13
A1,B1,C1,1,1,1,abc,TP3,15
A0,B0,C0,-1,-1,-1,(1),TP4,10
A1,B0,C0,1,-1,-1,a,TP4,14
A0,B1,C0,-1,1,-1,b,TP4,11
A1,B1,C0,1,1,-1,ab,TP4,12
A0,B0,C1,-1,-1,1,c,TP4,8
A1,B0,C1,1,-1,1,ac,TP4,13
A0,B1,C1,-1,1,1,bc,TP4,10
A1,B1,C1,1,1,1,abc,TP4,13
A0,B0,C0,-1,-1,-1,(1),TP5,11
A1,B0,C0,1,-1,-1,a,TP5,12
A0,B1,C0,-1,1,-1,b,TP5,11
A1,B1,C0,1,1,-1,ab,TP5,13
A0,B0,C1,-1,-1,1,c,TP5,6
A1,B0,C1,1,-1,1,ac,TP5,9
A0,B1,C1,-1,1,1,bc,TP5,7
A1,B1,C1,1,1,1,abc,TP5,12
A0,B0,C0,-1,-1,-1,(1),TP6,10
A1,B0,C0,1,-1,-1,a,TP6,9
A0,B1,C0,-1,1,-1,b,TP6,11
A1,B1,C0,1,1,-1,ab,TP6,13
A0,B0,C1,-1,-1,1,c,TP6,8
A1,B0,C1,1,-1,1,ac,TP6,13
A0,B1,C1,-1,1,1,bc,TP6,7
A1,B1,C1,1,1,1,abc,TP6,12
A0,B0,C0,-1,-1,-1,(1),TP7,8
A1,B0,C0,1,-1,-1,a,TP7,6
A0,B1,C0,-1,1,-1,b,TP7,11
A1,B1,C0,1,1,-1,ab,TP7,11
A0,B0,C1,-1,-1,1,c,TP7,9
A1,B0,C1,1,-1,1,ac,TP7,14
A0,B1,C1,-1,1,1,bc,TP7,17
A1,B1,C1,1,1,1,abc,TP7,9
A0,B0,C0,-1,-1,-1,(1),TP8,9
A1,B0,C0,1,-1,-1,a,TP8,15
A0,B1,C0,-1,1,-1,b,TP8,12
A1,B1,C0,1,1,-1,ab,TP8,11
A0,B0,C1,-1,-1,1,c,TP8,14
A1,B0,C1,1,-1,1,ac,TP8,9
A0,B1,C1,-1,1,1,bc,TP8,13
A1,B1,C1,1,1,1,abc,TP8,14
