replicate,block,factor_N,factor_P,factor_K,treatment_combination,yield
R1,B1,N1,P1,K1,npk,12
R1,B1,N0,P0,K1,k,17.7
R1,B1,N0,P1,K0,p,14.6
R1,B1,N1,P0,K0,n,12.7
R1,B2,N1,P0,K1,nk,11.7
R1,B2,N1,P1,K0,np,12.8
R1,B2,N0,P1,K1,pk,13.8
R1,B2,N0,P0,K0,-1,10.9
R2,B3,N1,P1,K1,npk,10.3
R2,B3,N0,P1,K0,p,8.9
R2,B3,N0,P0,K1,k,9.3
R2,B3,N1,P0,K0,n,10.8
R2,B4,N1,P1,K0,np,9.3
R2,B4,N1,P0,K1,nk,9.8
R2,B4,N0,P1,K1,pk,10
R2,B4,N0,P0,K0,-1,12.7
R3,B5,N1,P0,K1,nk,12.3
R3,B5,N1,P1,K0,np,10.3
R3,B5,N0,P1,K0,p,15.2
R3,B5,N0,P0,K1,k,14.3
R3,B6,N1,P0,K0,n,11.3
R3,B6,N0,P1,K1,pk,13
R3,B6,N0,P0,K0,-1,10.7
R3,B6,N1,P1,K1,npk,11.5
