replicate,block,factor_N,factor_K,factor_P,treatment_combination,response
R1,B1,N0,K0,P0,(1),101
R1,B1,N1,K1,P0,nk,291
R1,B1,N1,K0,P1,np,373
R1,B1,N0,K1,P1,kp,391
R1,B2,N1,K1,P1,nkp,450
R1,B2,N1,K0,P0,n,106
R1,B2,N0,K1,P0,k,265
R1,B2,N0,K0,P1,p,312
R2,B3,N0,K0,P0,(1),106
R2,B3,N1,K1,P0,nk,306
R2,B3,N1,K0,P1,np,338
R2,B3,N0,K1,P1,kp,407
R2,B4,N1,K1,P1,nkp,449
R2,B4,N1,K0,P0,n,89
R2,B4,N0,K1,P0,k,272
R2,B4,N0,K0,P1,p,324
R3,B5,N0,K0,P0,(1),87
R3,B5,N1,K1,P0,nk,334
R3,B5,N1,K0,P1,np,324
R3,B5,N0,K1,P1,kp,423
R3,B6,N1,K1,P1,nkp,471
R3,B6,N1,K0,P0,n,128
R3,B6,N0,K1,P0,k,279
R3,B6,N0,K0,P1,p,323
R4,B7,N0,K0,P0,(1),131
R4,B7,N1,K1,P0,nk,272
R4,B7,N1,K0,P1,np,361
R4,B7,N0,K1,P1,kp,445
R4,B8,N1,K1,P1,nkp,437
R4,B8,N1,K0,P0,n,103
R4,B8,N0,K1,P0,k,302
R4,B8,N0,K0,P1,p,324
