replicate,block,factor_N,factor_P,factor_K,treatment_combination,response
R1,B1,N0,P0,K0,(1),25
R1,B1,N0,P1,K1,pk,24
R1,B1,N1,P0,K1,nk,32
R1,B1,N1,P1,K0,np,30
R1,B2,N1,P0,K0,n,30
R1,B2,N0,P0,K1,k,32
R1,B2,N1,P1,K1,npk,36
R1,B2,N0,P1,K0,p,27
R2,B3,N0,P1,K0,p,32
R2,B3,N1,P1,K1,npk,42
R2,B3,N1,P0,K0,n,46
R2,B3,N0,P0,K1,k,39
R2,B4,N1,P0,K1,nk,34
R2,B4,N0,P0,K0,(1),44
R2,B4,N1,P1,K0,np,30
R2,B4,N0,P1,K1,pk,36
R3,B5,N1,P1,K1,npk,30
R3,B5,N0,P0,K1,k,32
R3,B5,N1,P0,K0,n,28
R3,B5,N0,P1,K0,p,26
R3,B6,N0,P0,K0,(1),24
R3,B6,N0,P1,K1,pk,20
R3,B6,N1,P0,K1,nk,28
R3,B6,N1,P1,K0,np,36
R4,B7,N1,P1,K0,np,32
R4,B7,N0,P0,K0,(1),34
R4,B7,N0,P1,K1,pk,39
R4,B7,N1,P0,K1,nk,41
R4,B8,N1,P1,K1,npk,45
R4,B8,N1,P0,K0,n,41
R4,B8,N0,P1,K0,p,29
R4,B8,N0,P0,K1,k,35
