block,variety,manure,yield
B1,V1,M1,94
B1,V1,M3,220
B1,V1,M2,185
B1,V1,M4,110
B1,V3,M4,440
B1,V3,M2,297
B1,V3,M3,218
B1,V3,M1,112
B1,V2,M2,250
B1,V2,M1,147
B1,V2,M3,248
B1,V2,M4,275
B2,V2,M1,135
B2,V2,M4,290
B2,V2,M2,180
B2,V2,M3,265
B2,V1,M2,160
B2,V1,M4,95
B2,V1,M3,124
B2,V1,M1,71
B2,V3,M4,370
B2,V3,M1,140
B2,V3,M3,340
B2,V3,M2,222
B3,V1,M1,78
B3,V1,M3,135
B3,V1,M4,130
B3,V1,M2,145
B3,V2,M3,196
B3,V2,M4,262
B3,V2,M1,155
B3,V2,M2,220
B3,V3,M2,235
B3,V3,M3,260
B3,V3,M1,115
B3,V3,M4,483
B4,V1,M1,81
B4,V1,M2,175
B4,V1,M4,175
B4,V1,M3,114
B4,V3,M2,246
B4,V3,M3,191
B4,V3,M1,145
B4,V3,M4,323
B4,V2,M3,296
B4,V2,M2,250
B4,V2,M1,122
B4,V2,M4,450
