factor_N,factor_K,factor_D,N_code,K_code,D_code,treatment_combination,block,response
N0,K0,D0,-1,-1,-1,(1),B1,101
N1,K0,D0,1,-1,-1,n,B1,106
N0,K1,D0,-1,1,-1,k,B1,265
N1,K1,D0,1,1,-1,nk,B1,291
N0,K0,D1,-1,-1,1,d,B1,312
N1,K0,D1,1,-1,1,nd,B1,373
N0,K1,D1,-1,1,1,kd,B1,398
N1,K1,D1,1,1,1,nkd,B1,450
N0,K0,D0,-1,-1,-1,(1),B2,106
N1,K0,D0,1,-1,-1,n,B2,89
N0,K1,D0,-1,1,-1,k,B2,272
N1,K1,D0,1,1,-1,nk,B2,306
N0,K0,D1,-1,-1,1,d,B2,324
N1,K0,D1,1,-1,1,nd,B2,338
N0,K1,D1,-1,1,1,kd,B2,407
N1,K1,D1,1,1,1,nkd,B2,449
N0,K0,D0,-1,-1,-1,(1),B3,87
N1,K0,D0,1,-1,-1,n,B3,128
N0,K1,D0,-1,1,-1,k,B3,279
N1,K1,D0,1,1,-1,nk,B3,334
N0,K0,D1,-1,-1,1,d,B3,323
N1,K0,D1,1,-1,1,nd,B3,324
N0,K1,D1,-1,1,1,kd,B3,423
N1,K1,D1,1,1,1,nkd,B3,471
N0,K0,D0,-1,-1,-1,(1),B4,131
N1,K0,D0,1,-1,-1,n,B4,103
N0,K1,D0,-1,1,-1,k,B4,302
N1,K1,D0,1,1,-1,nk,B4,272
N0,K0,D1,-1,-1,1,d,B4,324
N1,K0,D1,1,-1,1,nd,B4,361
N0,K1,D1,-1,1,1,kd,B4,445
N1,K1,D1,1,1,1,nkd,B4,437
