replicate,block,factor_N,factor_K,factor_D,treatment_combination,response
R1,B1,N0,K0,D0,(1),101
R1,B1,N1,K1,D0,nk,291
R1,B1,N1,K0,D1,nd,373
R1,B1,N0,K1,D1,kd,398
R1,B2,N1,K0,D0,n,106
R1,B2,N0,K1,D0,k,265
R1,B2,N0,K0,D1,d,312
R1,B2,N1,K1,D1,nkd,450
R2,B3,N0,K1,D1,kd,407
R2,B3,N1,K0,D1,nd,338
R2,B3,N0,K0,D0,(1),106
R2,B3,N1,K1,D0,nk,306
R2,B4,N1,K0,D0,n,89
R2,B4,N1,K1,D1,nkd,449
R2,B4,N0,K1,D0,k,272
R2,B4,N0,K0,D1,d,324
R3,B5,N1,K1,D0,nk,334
R3,B5,N0,K0,D0,(1),87
R3,B5,N1,K0,D1,nd,324
R3,B5,N0,K1,D1,kd,423
R3,B6,N0,K0,D1,d,323
R3,B6,N0,K1,D0,k,279
R3,B6,N1,K0,D0,n,128
R3,B6,N1,K1,D1,nkd,471
R4,B7,N1,K0,D1,nd,361
R4,B7,N1,K1,D0,nk,272
R4,B7,N0,K0,D0,(1),131
R4,B7,N0,K1,D1,kd,445
R4,B8,N0,K1,D0,k,302
R4,B8,N1,K0,D0,n,103
R4,B8,N1,K1,D1,nkd,437
R4,B8,N0,K0,D1,d,324
