replicate,block,factor_N,factor_P,factor_K,treatment_combination,yield
R1,B1,N0,P0,K0,(1),145
R1,B1,N0,P1,K1,pk,191
R1,B1,N1,P0,K1,nk,300
R1,B1,N1,P1,K0,np,240
R1,B2,N0,P0,K1,k,189
R1,B2,N0,P1,K0,p,272
R1,B2,N1,P0,K0,n,160
R1,B2,N1,P1,K1,npk,305
R2,B3,N0,P0,K0,(1),226
R2,B3,N0,P0,K1,k,169
R2,B3,N1,P1,K1,npk,240
R2,B3,N1,P1,K0,np,182
R2,B4,N0,P1,K0,p,266
R2,B4,N1,P0,K1,nk,300
R2,B4,N0,P1,K1,pk,233
R2,B4,N1,P0,K0,n,278
R3,B5,N0,P1,K0,p,186
R3,B5,N1,P1,K1,npk,173
R3,B5,N0,P0,K0,(1),170
R3,B5,N1,P0,K1,nk,213
R3,B6,N1,P0,K0,n,209
R3,B6,N0,P0,K1,k,93
R3,B6,N0,P1,K1,pk,224
R3,B6,N1,P1,K0,np,245
R4,B7,N0,P1,K1,pk,182
R4,B7,N0,P0,K0,(1),175
R4,B7,N1,P1,K1,npk,156
R4,B7,N1,P0,K0,n,183
R4,B8,N0,P0,K1,k,293
R4,B8,N1,P0,K1,nk,226
R4,B8,N1,P1,K0,np,248
R4,B8,N0,P1,K0,p,269
